Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,8x8,Bands_13+0_Indices,0,0.8688,0.2214,0.1656,0.0245,0.0237,31.2
PH,8x8,Bands_13+1_Indices,1,0.8257,0.2552,0.1978,0.0326,0.0311,22.7
PH,8x8,Bands_13+2_Indices,2,0.4339,0.4599,0.4154,0.1058,0.1001,18.7
PH,8x8,Bands_13+3_Indices,3,0.6933,0.3385,0.278,0.0572,0.0542,18.9
PH,8x8,Bands_13+4_Indices,4,0.8682,0.2219,0.1635,0.0246,0.0238,23.3
PH,8x8,Bands_13+5_Indices,5,0.7578,0.3008,0.249,0.0452,0.0435,13.1
K,8x8,Bands_13+0_Indices,0,0.1629,138.1174,111.73,111.23,111.0369,10.4
K,8x8,Bands_13+1_Indices,1,0.2206,133.2686,108.8302,108.3302,108.1371,12.3
K,8x8,Bands_13+2_Indices,2,0.2372,131.842,107.2762,106.7762,106.5831,11.5
K,8x8,Bands_13+3_Indices,3,0.226,132.8064,107.9572,107.4572,107.2642,13.9
K,8x8,Bands_13+4_Indices,4,0.2674,129.2046,106.0214,105.5237,105.3331,9.8
K,8x8,Bands_13+5_Indices,5,0.2793,128.1506,104.0765,103.5765,103.384,9.8
S,8x8,Bands_13+0_Indices,0,-0.1306,3.1328,2.1584,1.7283,1.6194,6.7
S,8x8,Bands_13+1_Indices,1,-0.073,3.052,2.1578,1.7108,1.5982,8.0
S,8x8,Bands_13+2_Indices,2,-0.0226,2.9795,2.1489,1.6989,1.5873,9.5
S,8x8,Bands_13+3_Indices,3,-0.1263,3.1268,2.1835,1.753,1.642,5.9
S,8x8,Bands_13+4_Indices,4,-0.1375,3.1423,2.2233,1.7818,1.6663,7.7
S,8x8,Bands_13+5_Indices,5,-0.053,3.0234,2.1247,1.6905,1.5806,10.7
P,8x8,Bands_13+0_Indices,0,0.3753,7.4695,5.374,4.8954,4.7404,9.5
P,8x8,Bands_13+1_Indices,1,0.1816,8.5498,6.1549,5.6719,5.5087,5.9
P,8x8,Bands_13+2_Indices,2,0.0537,9.1932,6.5485,6.0639,5.9017,11.5
P,8x8,Bands_13+3_Indices,3,-0.0766,9.8058,7.0512,6.5689,6.401,5.7
P,8x8,Bands_13+4_Indices,4,-0.1369,10.0771,7.0181,6.5505,6.3914,4.8
P,8x8,Bands_13+5_Indices,5,-0.0452,9.6618,6.606,6.1272,5.9627,5.8
HU,8x8,Bands_13+0_Indices,0,0.437,0.5379,0.3846,0.1373,0.1233,6.5
HU,8x8,Bands_13+1_Indices,1,0.5565,0.4775,0.3587,0.1133,0.1029,16.6
HU,8x8,Bands_13+2_Indices,2,0.5031,0.5054,0.3722,0.1245,0.1123,6.3
HU,8x8,Bands_13+3_Indices,3,0.5554,0.4781,0.3515,0.1118,0.1014,9.0
HU,8x8,Bands_13+4_Indices,4,0.5412,0.4856,0.3523,0.115,0.1043,5.9
HU,8x8,Bands_13+5_Indices,5,0.536,0.4884,0.3594,0.1163,0.105,8.3
NO3,8x8,Bands_13+0_Indices,0,0.4075,5.1202,2.768,2.3274,2.2084,10.5
NO3,8x8,Bands_13+1_Indices,1,0.3787,5.2434,2.9767,2.5203,2.3917,10.4
NO3,8x8,Bands_13+2_Indices,2,0.3133,5.5122,3.0438,2.5978,2.4754,10.4
NO3,8x8,Bands_13+3_Indices,3,0.2973,5.576,3.1741,2.7285,2.6006,5.9
NO3,8x8,Bands_13+4_Indices,4,0.5187,4.6147,2.8531,2.4143,2.2938,8.6
NO3,8x8,Bands_13+5_Indices,5,0.3733,5.2659,3.0078,2.5456,2.4173,8.1
