Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,16x16,Bands_13+0_Indices,0,0.8053,0.2698,0.2177,0.0364,0.0351,32.5
PH,16x16,Bands_13+1_Indices,1,0.8569,0.2313,0.1793,0.0267,0.0259,21.9
PH,16x16,Bands_13+2_Indices,2,0.704,0.3325,0.2842,0.0553,0.0533,11.3
PH,16x16,Bands_13+3_Indices,3,0.7437,0.3095,0.2377,0.0475,0.0447,11.9
PH,16x16,Bands_13+4_Indices,4,0.3378,0.4974,0.4396,0.1237,0.116,13.4
PH,16x16,Bands_13+5_Indices,5,0.8161,0.2621,0.2041,0.0344,0.033,14.3
PH,32x32,Bands_13+0_Indices,0,0.8071,0.2685,0.2187,0.036,0.035,46.9
PH,32x32,Bands_13+1_Indices,1,0.8782,0.2134,0.165,0.0228,0.0221,28.1
PH,32x32,Bands_13+2_Indices,2,0.7651,0.2963,0.2121,0.0436,0.041,22.7
PH,32x32,Bands_13+3_Indices,3,0.8372,0.2467,0.1775,0.0304,0.029,27.5
PH,32x32,Bands_13+4_Indices,4,0.8135,0.264,0.2253,0.0348,0.034,19.0
PH,32x32,Bands_13+5_Indices,5,0.5387,0.4152,0.3619,0.0862,0.0816,19.7
PH,64x64,Bands_13+0_Indices,0,0.7007,0.3344,0.2907,0.0559,0.054,64.0
PH,64x64,Bands_13+1_Indices,1,0.7427,0.3101,0.2501,0.0481,0.046,30.0
PH,64x64,Bands_13+2_Indices,2,0.729,0.3182,0.2306,0.0506,0.0474,25.1
PH,64x64,Bands_13+3_Indices,3,0.5872,0.3927,0.3431,0.0771,0.0738,32.9
PH,64x64,Bands_13+4_Indices,4,0.717,0.3252,0.2939,0.0529,0.0514,17.5
PH,64x64,Bands_13+5_Indices,5,0.7067,0.3311,0.2495,0.0548,0.0514,34.6
K,16x16,Bands_13+0_Indices,0,0.3353,123.0754,97.674,97.1741,96.9823,11.8
K,16x16,Bands_13+1_Indices,1,0.2127,133.9413,110.0688,109.5688,109.3757,11.0
K,16x16,Bands_13+2_Indices,2,0.1782,136.844,112.2696,111.7696,111.5765,8.7
K,16x16,Bands_13+3_Indices,3,0.2627,129.6212,102.9127,102.4155,102.2239,9.5
K,16x16,Bands_13+4_Indices,4,0.2184,133.4609,105.8117,105.3122,105.1214,9.3
K,16x16,Bands_13+5_Indices,5,0.194,135.5275,110.8093,110.3093,110.1175,9.7
K,32x32,Bands_13+0_Indices,0,0.232,132.2887,105.5621,105.0621,104.8696,10.7
K,32x32,Bands_13+1_Indices,1,0.3383,122.7949,98.1647,97.6654,97.4757,13.6
K,32x32,Bands_13+2_Indices,2,0.2495,130.778,104.4245,103.9245,103.732,9.4
K,32x32,Bands_13+3_Indices,3,0.3603,120.7334,96.88,96.3801,96.1894,10.6
K,32x32,Bands_13+4_Indices,4,0.1077,142.5957,115.4078,114.9078,114.7155,10.7
K,32x32,Bands_13+5_Indices,5,0.2412,131.4928,104.6007,104.1022,103.9134,10.4
K,64x64,Bands_13+0_Indices,0,0.3195,124.5311,102.8086,102.3086,102.1158,17.4
K,64x64,Bands_13+1_Indices,1,0.3416,122.4834,99.2137,98.7149,98.5237,20.6
K,64x64,Bands_13+2_Indices,2,0.3264,123.8948,100.0298,99.5303,99.3384,21.6
K,64x64,Bands_13+3_Indices,3,0.3821,118.6582,99.3038,98.8038,98.6111,23.6
K,64x64,Bands_13+4_Indices,4,0.3734,119.4962,94.9895,94.4895,94.298,19.3
K,64x64,Bands_13+5_Indices,5,0.2497,130.7553,107.9878,107.4881,107.2963,18.6
S,16x16,Bands_13+0_Indices,0,-0.0821,3.0648,2.1547,1.721,1.6108,13.2
S,16x16,Bands_13+1_Indices,1,-0.0919,3.0787,2.1705,1.7247,1.6116,6.3
S,16x16,Bands_13+2_Indices,2,-0.0791,3.0606,2.0621,1.6458,1.5428,5.0
S,16x16,Bands_13+3_Indices,3,-0.0632,3.038,2.1837,1.7398,1.6235,6.1
S,16x16,Bands_13+4_Indices,4,0.0119,2.9288,2.0288,1.6084,1.5028,10.0
S,16x16,Bands_13+5_Indices,5,-0.1078,3.1011,2.2791,1.8296,1.7095,11.8
S,32x32,Bands_13+0_Indices,0,-0.0352,2.9978,2.1069,1.6669,1.557,10.0
S,32x32,Bands_13+1_Indices,1,-0.0376,3.0012,2.0927,1.6601,1.5526,6.0
S,32x32,Bands_13+2_Indices,2,-0.0308,2.9913,2.0805,1.6544,1.5463,10.2
S,32x32,Bands_13+3_Indices,3,-0.0326,2.9939,2.0865,1.6587,1.5525,7.7
S,32x32,Bands_13+4_Indices,4,-0.1301,3.1322,2.1683,1.728,1.6197,8.5
S,32x32,Bands_13+5_Indices,5,-0.0213,2.9775,2.0465,1.6177,1.5133,13.0
S,64x64,Bands_13+0_Indices,0,-0.1492,3.1584,2.1473,1.7258,1.6186,14.3
S,64x64,Bands_13+1_Indices,1,-0.1382,3.1433,2.2102,1.7848,1.6736,11.3
S,64x64,Bands_13+2_Indices,2,-0.2098,3.2407,2.2935,1.8576,1.742,11.5
S,64x64,Bands_13+3_Indices,3,-0.0997,3.0896,2.1678,1.7341,1.6252,10.4
S,64x64,Bands_13+4_Indices,4,-0.1128,3.108,2.1412,1.7059,1.5995,12.2
S,64x64,Bands_13+5_Indices,5,-0.1227,3.1219,2.1538,1.7279,1.622,12.5
P,16x16,Bands_13+0_Indices,0,0.3575,7.5753,5.8135,5.3334,5.1753,4.8
P,16x16,Bands_13+1_Indices,1,0.2356,8.2629,5.9762,5.5,5.3374,6.0
