Target,Model,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,RF,0.8957,0.1974,0.1562,0.0195,0.0191,0.4
PH,ET,0.8239,0.2565,0.2156,0.0329,0.0321,0.2
PH,XGBoost,0.8883,0.2043,0.1586,0.0209,0.0203,0.5
PH,CatBoost,0.8284,0.2532,0.2071,0.0321,0.0312,0.3
PH,CART,0.8403,0.2443,0.1727,0.0298,0.0285,0.0
PH,LR,0.5647,0.4033,0.3359,0.0811,0.0765,0.0
PH,Ridge,0.5641,0.4036,0.3364,0.0812,0.0766,0.0
PH,SGD,0.549,0.4105,0.3415,0.0833,0.0783,0.0
PH,SVR,0.7505,0.3054,0.2578,0.0466,0.0452,0.0
PH,GBDT,0.8709,0.2196,0.1732,0.0241,0.0235,0.3
K,RF,0.285,127.645,99.9188,99.4188,inf,0.4
K,ET,0.3261,123.9255,100.207,99.7094,inf,0.3
K,XGBoost,0.335,123.1029,98.8426,98.3453,inf,0.1
K,CatBoost,0.2867,127.4955,104.4576,103.9576,inf,0.3
K,CART,-0.6658,194.8319,156.8029,156.3029,inf,0.0
K,LR,-0.749,199.6353,170.7461,170.2461,inf,0.0
K,Ridge,-0.7356,198.8728,170.0212,169.5211,inf,0.0
K,SGD,-0.7181,197.8692,168.8827,168.3827,inf,0.0
K,SVR,0.2124,133.9686,107.3921,106.8921,inf,0.0
K,GBDT,0.1865,136.1526,110.6485,110.1492,inf,0.3
S,RF,-0.1959,3.222,2.262,1.8312,1.7209,0.4
S,ET,0.0307,2.9008,2.0497,1.6337,1.5244,0.2
S,XGBoost,-0.3813,3.4628,2.8383,2.3573,2.2096,0.0
S,CatBoost,0.0527,2.8676,2.1271,1.6719,1.5597,0.2
S,CART,-0.2332,3.2719,2.3728,1.9339,1.8174,0.0
S,LR,-1.7261,4.8646,3.7429,3.2775,3.1371,0.0
S,Ridge,-1.7139,4.8537,3.7327,3.2672,3.127,0.0
S,SGD,-1.468,4.6286,3.521,3.0656,2.922,0.0
S,SVR,-0.0203,2.9761,2.2695,1.8071,1.6806,0.0
S,GBDT,-0.0251,2.9831,2.1447,1.6964,1.5913,0.3
P,RF,0.0314,9.3013,6.6867,6.2015,6.0349,0.4
P,ET,0.033,9.2936,6.7713,6.2979,6.1408,0.2
P,XGBoost,-0.6403,12.1038,10.6737,10.1798,9.9954,0.0
P,CatBoost,0.0613,9.1564,7.8325,7.338,7.1574,0.1
P,CART,-0.0894,9.8642,7.5302,7.0406,6.8696,0.0
P,LR,-0.5204,11.6531,8.963,8.4778,8.3045,0.0
P,Ridge,-0.5149,11.6322,8.9497,8.4654,8.2925,0.0
P,SGD,-0.4872,11.5253,8.9512,8.466,8.2944,0.0
P,SVR,0.0153,9.3779,6.8709,6.3897,6.2265,0.0
P,GBDT,0.0973,8.979,6.8733,6.3852,6.2112,0.3
HU,RF,0.0535,0.6975,0.511,0.2234,0.1974,0.4
HU,ET,0.3784,0.5653,0.4193,0.1554,0.1383,0.2
HU,XGBoost,0.2422,0.6241,0.4649,0.1839,0.1628,0.0
HU,CatBoost,0.4486,0.5324,0.3921,0.1375,0.1231,0.3
HU,CART,-0.8027,0.9626,0.7184,0.3677,0.3298,0.0
HU,LR,-3.299,1.4865,1.3879,0.913,0.7961,0.0
HU,Ridge,-3.2693,1.4814,1.3831,0.9084,0.7919,0.0
HU,SGD,-3.0501,1.4428,1.3481,0.8737,0.7602,0.0
HU,SVR,-0.4387,0.8599,0.7351,0.3453,0.3039,0.0
HU,GBDT,-1.274,1.0811,0.8705,0.4857,0.4282,0.3
NO3,RF,0.7573,3.2768,2.2232,1.783,1.6674,0.4
NO3,ET,0.661,3.8732,2.5084,2.0615,1.9391,0.2
NO3,XGBoost,0.7548,3.2941,2.2926,1.8474,1.7279,0.3
NO3,CatBoost,0.5806,4.3077,2.7889,2.3359,2.2074,0.4
NO3,CART,0.2557,5.7387,4.6433,4.1644,4.0055,0.0
NO3,LR,0.2012,5.945,3.7507,3.2918,3.1492,0.0
NO3,Ridge,0.2004,5.9483,3.7537,3.2945,3.1519,0.0
NO3,SGD,0.1762,6.0376,3.776,3.3143,3.171,0.0
NO3,SVR,0.4516,4.926,3.5828,3.106,2.9534,0.0
NO3,GBDT,0.6983,3.6537,2.6056,2.1471,2.0158,0.3
