Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,32x32,Base_39Ch+0_Indices,0,0.798,0.2747,0.2132,0.0377,0.0363,30.3
PH,32x32,Base_39Ch+1_Indices,1,0.7175,0.3249,0.2273,0.0528,0.0492,23.6
PH,32x32,Base_39Ch+2_Indices,2,0.6321,0.3708,0.2804,0.0684,0.0631,34.5
PH,32x32,Base_39Ch+3_Indices,3,0.7491,0.3062,0.2285,0.0469,0.044,21.5
PH,32x32,Base_39Ch+4_Indices,4,0.7217,0.3225,0.2528,0.052,0.0494,20.7
PH,32x32,Base_39Ch+5_Indices,5,0.5799,0.3962,0.3096,0.0785,0.0731,22.3
K,32x32,Base_39Ch+0_Indices,0,0.1943,135.495,110.8476,110.3492,110.1596,20.3
K,32x32,Base_39Ch+1_Indices,1,-0.0254,152.8567,121.2206,120.7221,120.5306,19.7
K,32x32,Base_39Ch+2_Indices,2,0.0847,144.4199,115.9787,115.4787,115.2856,16.0
K,32x32,Base_39Ch+3_Indices,3,0.2035,134.7243,110.2371,109.7416,109.5514,19.3
K,32x32,Base_39Ch+4_Indices,4,-0.3123,172.9244,129.736,129.2362,129.0443,16.9
K,32x32,Base_39Ch+5_Indices,5,0.0532,146.8818,122.019,121.5191,121.3276,19.2
S,32x32,Base_39Ch+0_Indices,0,-0.1133,3.1088,2.2377,1.8074,1.6936,28.1
S,32x32,Base_39Ch+1_Indices,1,-0.1117,3.1065,2.3343,1.8805,1.7591,19.9
S,32x32,Base_39Ch+2_Indices,2,-0.0996,3.0896,2.2261,1.7973,1.681,19.9
S,32x32,Base_39Ch+3_Indices,3,-0.2271,3.2637,2.4071,1.952,1.8289,38.9
S,32x32,Base_39Ch+4_Indices,4,-0.6839,3.8232,2.6849,2.2441,2.1195,46.4
S,32x32,Base_39Ch+5_Indices,5,-0.3514,3.4251,2.4748,2.0258,1.9054,50.8
P,32x32,Base_39Ch+0_Indices,0,-0.4186,11.2563,7.8132,7.3361,7.1696,18.3
P,32x32,Base_39Ch+1_Indices,1,-0.1409,10.0944,7.6309,7.1474,6.9782,19.1
P,32x32,Base_39Ch+2_Indices,2,-0.2797,10.6909,8.0043,7.5221,7.3521,18.0
P,32x32,Base_39Ch+3_Indices,3,0.0135,9.3869,6.7946,6.3035,6.1349,18.7
P,32x32,Base_39Ch+4_Indices,4,0.1055,8.9381,6.6932,6.2105,6.0409,19.5
P,32x32,Base_39Ch+5_Indices,5,0.2227,8.3322,5.8646,5.3889,5.225,19.7
HU,32x32,Base_39Ch+0_Indices,0,0.3919,0.5591,0.4215,0.1517,0.1362,19.0
HU,32x32,Base_39Ch+1_Indices,1,0.4606,0.5266,0.3952,0.1356,0.122,18.8
HU,32x32,Base_39Ch+2_Indices,2,0.3408,0.5821,0.4779,0.1639,0.1485,16.6
HU,32x32,Base_39Ch+3_Indices,3,0.3606,0.5733,0.447,0.1605,0.1439,18.7
HU,32x32,Base_39Ch+4_Indices,4,0.4114,0.55,0.4026,0.1444,0.1297,22.7
HU,32x32,Base_39Ch+5_Indices,5,0.5008,0.5066,0.3877,0.1242,0.1127,24.6
NO3,32x32,Base_39Ch+0_Indices,0,0.3476,5.3729,3.6149,3.1586,3.0234,29.9
NO3,32x32,Base_39Ch+1_Indices,1,0.3431,5.3911,3.4204,2.9565,2.8274,24.3
NO3,32x32,Base_39Ch+2_Indices,2,0.2993,5.5681,3.5827,3.1211,2.9859,31.9
NO3,32x32,Base_39Ch+3_Indices,3,0.4223,5.0558,3.3851,2.9224,2.7909,29.9
NO3,32x32,Base_39Ch+4_Indices,4,0.3528,5.3513,3.5983,3.1326,2.9946,31.7
NO3,32x32,Base_39Ch+5_Indices,5,0.3724,5.2698,3.4773,3.019,2.8825,41.4
