scheme,Property,n,rho,R2,RMSE,MAE,SD,IQR,RSE=RPD,RPD_class,RSR,RPIQ
Spatial-block (30),pH,1085,0.765,0.675,0.374,0.261,0.656,1.0,1.75,fair,0.57,2.67
Spatial-block (30),SOC,1085,0.44,-0.104,0.576,0.346,0.548,0.58,0.95,very poor,1.05,1.01
Spatial-block (30),NO3,1085,0.314,0.133,7.349,4.784,7.896,7.1,1.07,poor,0.931,0.97
Spatial-block (30),P2O5,1085,0.51,0.142,18.806,11.684,20.312,15.5,1.08,poor,0.926,0.82
Spatial-block (30),K2O,1085,0.292,0.003,166.362,126.245,166.655,183.0,1.0,poor,0.998,1.1
Spatial-block (30),S,1085,0.26,0.61,4.753,3.062,7.617,3.86,1.6,fair,0.624,0.81
LLTO / cross-year,pH,1085,0.497,0.116,0.617,0.555,0.656,1.0,1.06,poor,0.94,1.62
LLTO / cross-year,SOC,1085,0.093,-0.128,0.582,0.447,0.548,0.58,0.94,very poor,1.062,1.0
LLTO / cross-year,NO3,1085,-0.256,-0.433,9.447,6.622,7.896,7.1,0.84,very poor,1.196,0.75
LLTO / cross-year,P2O5,1085,0.114,-0.283,22.994,14.203,20.312,15.5,0.88,very poor,1.132,0.67
LLTO / cross-year,K2O,1085,-0.054,-0.1,174.714,134.859,166.655,183.0,0.95,very poor,1.048,1.05
LLTO / cross-year,S,1085,-0.175,-0.123,8.068,4.076,7.617,3.86,0.94,very poor,1.059,0.48
