feature,imp_mean,imp_std,top5_freq
topo_TPI,0.1123,0.2337,0.3
l8_SR_B6_spring,0.0714,0.1604,0.2
s2_RENDVI_spring,0.0554,0.0855,0.2
topo_plan_curvature,0.0521,0.0666,0.35
topo_DEM,0.0492,0.1058,0.25
s2_S2REP_spring,0.0486,0.0667,0.3
s2_NBR_spring,0.0377,0.0951,0.1
l8_SAVI_spring,0.0362,0.06,0.15
s2_B4_spring,0.0353,0.0664,0.15
s2_Cl_Red_Edge_spring,0.0333,0.0572,0.15
l8_SR_B2_spring,0.0327,0.0623,0.2
s2_B2_spring,0.0319,0.107,0.05
l8_GNDVI_spring,0.0299,0.0567,0.25
climate_MAT,0.0263,0.0527,0.15
s2_B12_spring,0.0256,0.0415,0.2
s2_BSI_spring,0.0247,0.0777,0.1
s2_MSI_spring,0.0216,0.0337,0.15
l8_SR_B3_spring,0.0208,0.0256,0.1
l8_NDVI_spring,0.0206,0.0551,0.1
topo_profile_curvature,0.0197,0.0268,0.1
s2_NDRE_spring,0.019,0.0366,0.05
s2_B3_spring,0.0184,0.0305,0.1
s2_IRECI_spring,0.016,0.0383,0.15
s2_B11_spring,0.014,0.0209,0.05
s2_PSRI_spring,0.0139,0.0223,0.05
s2_NDVI_spring,0.0128,0.0194,0.05
s2_EVI_spring,0.0122,0.0264,0.1
s2_NDMI_spring,0.0116,0.0298,0.05
s2_NDWI_spring,0.0102,0.0291,0.1
s2_B7_spring,0.01,0.0273,0.1
l8_SR_B5_spring,0.0091,0.0177,0.05
s2_B8A_spring,0.0084,0.0403,0.05
l8_SR_B7_spring,0.0075,0.026,0.1
s2_B5_spring,0.0068,0.0085,0.0
s2_SAVI_spring,0.0067,0.018,0.05
topo_aspect_cos,0.0064,0.0255,0.15
climate_GS_temp,0.006,0.0214,0.1
s2_B8_spring,0.0058,0.0088,0.05
climate_GS_precip,0.0042,0.0115,0.05
s2_B6_spring,0.0029,0.0112,0.05
topo_slope,0.0028,0.0091,0.0
topo_TWI,0.0023,0.0101,0.0
topo_aspect_sin,0.0021,0.0089,0.0
s2_GNDVI_spring,0.0017,0.0048,0.0
s2_CIre_spring,0.0015,0.0048,0.0
climate_MAP,0.0015,0.0052,0.0
l8_SR_B4_spring,0.0011,0.0036,0.0
