feature,imp_mean,imp_std,top5_freq
s2_B5_spring,0.0749,0.0662,0.35
s2_B4_spring,0.0713,0.0605,0.25
s2_B2_spring,0.0694,0.095,0.3
climate_GS_precip,0.065,0.1477,0.1
s2_GNDVI_spring,0.0553,0.0929,0.1
l8_SR_B7_spring,0.0544,0.0946,0.25
s2_B3_spring,0.0472,0.0486,0.15
l8_GNDVI_spring,0.0441,0.1332,0.2
l8_SR_B5_spring,0.0374,0.038,0.3
l8_SAVI_spring,0.0356,0.0683,0.1
s2_Cl_Red_Edge_spring,0.03,0.0601,0.1
s2_NDWI_spring,0.0292,0.0374,0.25
climate_MAP,0.0259,0.0563,0.1
s2_RENDVI_spring,0.0197,0.0254,0.1
l8_SR_B6_spring,0.0193,0.0593,0.05
topo_plan_curvature,0.0192,0.0388,0.25
l8_SR_B2_spring,0.0183,0.0341,0.2
s2_B8A_spring,0.0175,0.0192,0.05
l8_SR_B4_spring,0.0165,0.0697,0.15
s2_IRECI_spring,0.0164,0.0289,0.05
s2_PSRI_spring,0.0157,0.0282,0.15
s2_B11_spring,0.0156,0.0257,0.1
topo_profile_curvature,0.0141,0.0314,0.2
topo_DEM,0.0132,0.0191,0.0
s2_NBR_spring,0.0129,0.0161,0.05
l8_NDVI_spring,0.0128,0.0154,0.05
topo_TPI,0.0124,0.0175,0.1
s2_B6_spring,0.0107,0.0277,0.05
s2_B8_spring,0.0099,0.0172,0.1
s2_B7_spring,0.0099,0.0455,0.05
s2_BSI_spring,0.0096,0.0094,0.0
s2_SAVI_spring,0.0084,0.0148,0.05
s2_CIre_spring,0.0082,0.0097,0.0
climate_MAT,0.008,0.0202,0.05
s2_NDMI_spring,0.0072,0.0138,0.15
l8_SR_B3_spring,0.0068,0.0296,0.05
s2_S2REP_spring,0.0063,0.0115,0.1
s2_NDVI_spring,0.0053,0.0076,0.0
s2_EVI_spring,0.005,0.0109,0.0
s2_NDRE_spring,0.0049,0.0086,0.05
s2_MSI_spring,0.0043,0.0075,0.0
s2_B12_spring,0.0041,0.0155,0.1
climate_GS_temp,0.0028,0.017,0.05
topo_aspect_sin,0.0022,0.0123,0.1
topo_slope,0.0012,0.0054,0.0
topo_aspect_cos,0.0009,0.0048,0.0
topo_TWI,0.0007,0.0048,0.05
