feature,imp_mean,imp_std,top5_freq
climate_GS_temp,0.1357,0.3135,0.05
l8_NDVI_spring,0.0864,0.1668,0.25
climate_MAT,0.0856,0.1464,0.15
topo_plan_curvature,0.0823,0.1585,0.3
climate_GS_precip,0.0561,0.0938,0.3
s2_PSRI_spring,0.034,0.0569,0.3
s2_RENDVI_spring,0.0313,0.0394,0.25
s2_B12_spring,0.0293,0.0585,0.15
s2_NDRE_spring,0.0281,0.0808,0.05
s2_Cl_Red_Edge_spring,0.0253,0.031,0.05
s2_CIre_spring,0.0245,0.0362,0.15
s2_S2REP_spring,0.0233,0.0638,0.3
s2_GNDVI_spring,0.0215,0.0401,0.1
l8_SR_B3_spring,0.0209,0.046,0.1
s2_NDWI_spring,0.0199,0.0368,0.25
l8_GNDVI_spring,0.0197,0.0505,0.1
s2_B6_spring,0.019,0.0309,0.1
s2_BSI_spring,0.0183,0.0605,0.25
topo_profile_curvature,0.0172,0.0604,0.1
s2_B2_spring,0.0168,0.0616,0.15
s2_NDVI_spring,0.0149,0.0295,0.15
s2_B4_spring,0.0145,0.0355,0.25
s2_B11_spring,0.013,0.0231,0.15
s2_B5_spring,0.0114,0.0198,0.0
s2_B7_spring,0.011,0.0236,0.2
s2_B8_spring,0.0105,0.0241,0.05
l8_SR_B6_spring,0.0103,0.0217,0.05
s2_B8A_spring,0.0092,0.0234,0.2
s2_B3_spring,0.0072,0.0165,0.05
climate_MAP,0.0065,0.0141,0.0
l8_SAVI_spring,0.0064,0.0104,0.0
l8_SR_B2_spring,0.0062,0.0098,0.0
topo_TPI,0.0056,0.0147,0.05
topo_DEM,0.0053,0.012,0.0
s2_MSI_spring,0.0053,0.0109,0.05
s2_NDMI_spring,0.005,0.0121,0.2
l8_SR_B4_spring,0.0044,0.0113,0.05
l8_SR_B5_spring,0.0043,0.0077,0.0
s2_EVI_spring,0.0035,0.0133,0.05
s2_NBR_spring,0.0034,0.0085,0.05
topo_TWI,0.0032,0.0079,0.0
s2_IRECI_spring,0.0029,0.0062,0.0
s2_SAVI_spring,0.0021,0.0042,0.0
l8_SR_B7_spring,0.0021,0.0059,0.0
topo_aspect_cos,0.001,0.0032,0.0
topo_slope,0.0004,0.0016,0.0
topo_aspect_sin,0.0002,0.0014,0.0
