feature,imp_mean,imp_std,top5_freq
s2_S2REP_spring,0.0812,0.1299,0.35
s2_NDRE_spring,0.0789,0.1586,0.2
l8_SR_B3_spring,0.0656,0.1484,0.15
l8_SR_B7_spring,0.0493,0.121,0.25
s2_PSRI_spring,0.0489,0.0961,0.15
topo_TPI,0.0468,0.0752,0.2
s2_GNDVI_spring,0.0408,0.0627,0.2
topo_plan_curvature,0.0401,0.0567,0.25
s2_Cl_Red_Edge_spring,0.0354,0.0578,0.1
s2_RENDVI_spring,0.0352,0.0461,0.25
s2_NDWI_spring,0.0325,0.0562,0.15
l8_SR_B6_spring,0.0315,0.0835,0.1
s2_B8A_spring,0.0249,0.0435,0.1
s2_NDVI_spring,0.0248,0.0404,0.05
climate_MAT,0.024,0.0412,0.15
s2_CIre_spring,0.0231,0.0495,0.1
topo_DEM,0.0226,0.0413,0.15
l8_SR_B4_spring,0.0221,0.0446,0.1
s2_B6_spring,0.0218,0.0317,0.15
l8_NDVI_spring,0.0217,0.0634,0.1
s2_B7_spring,0.0199,0.0255,0.05
topo_profile_curvature,0.0195,0.046,0.2
l8_GNDVI_spring,0.0188,0.0535,0.2
s2_IRECI_spring,0.0127,0.0444,0.15
s2_BSI_spring,0.0126,0.0283,0.15
s2_SAVI_spring,0.0117,0.0345,0.05
l8_SAVI_spring,0.0111,0.0171,0.05
l8_SR_B2_spring,0.0105,0.0235,0.15
climate_GS_precip,0.0096,0.0127,0.0
s2_B11_spring,0.009,0.0191,0.15
s2_NBR_spring,0.0084,0.0141,0.05
s2_B5_spring,0.0079,0.0251,0.05
s2_B3_spring,0.0074,0.0207,0.05
climate_MAP,0.0068,0.0098,0.0
climate_GS_temp,0.0067,0.0092,0.0
s2_B4_spring,0.0066,0.0189,0.05
s2_B8_spring,0.0064,0.0111,0.1
l8_SR_B5_spring,0.0061,0.0129,0.05
s2_EVI_spring,0.0051,0.0078,0.05
s2_B12_spring,0.0043,0.0151,0.05
s2_B2_spring,0.0036,0.0071,0.0
s2_NDMI_spring,0.0034,0.0109,0.1
s2_MSI_spring,0.0016,0.0066,0.0
topo_aspect_cos,0.0015,0.0048,0.0
topo_aspect_sin,0.0011,0.0053,0.0
topo_TWI,0.001,0.0051,0.0
topo_slope,0.0009,0.0055,0.05
