feature,imp_mean,imp_std,top5_freq
topo_profile_curvature,0.1878,0.1963,0.45
s2_BSI_spring,0.0584,0.1062,0.15
topo_TPI,0.0511,0.106,0.3
topo_plan_curvature,0.0475,0.0501,0.25
climate_GS_temp,0.0462,0.1013,0.05
s2_PSRI_spring,0.0382,0.0596,0.2
s2_S2REP_spring,0.035,0.049,0.35
s2_RENDVI_spring,0.0346,0.0564,0.25
climate_MAT,0.0281,0.0514,0.15
l8_SR_B6_spring,0.0271,0.0358,0.2
topo_DEM,0.0265,0.0357,0.2
s2_B5_spring,0.0251,0.0547,0.15
s2_CIre_spring,0.0241,0.0528,0.1
s2_B7_spring,0.0229,0.0536,0.15
l8_NDVI_spring,0.0212,0.0377,0.1
s2_B8A_spring,0.0201,0.0294,0.15
s2_Cl_Red_Edge_spring,0.0197,0.0346,0.05
l8_GNDVI_spring,0.0165,0.0202,0.05
s2_NDWI_spring,0.0156,0.0394,0.15
l8_SR_B2_spring,0.0151,0.0383,0.05
l8_SR_B7_spring,0.0145,0.0281,0.1
s2_B8_spring,0.014,0.0293,0.1
s2_B12_spring,0.0129,0.0314,0.1
l8_SAVI_spring,0.0123,0.0269,0.05
s2_B3_spring,0.0119,0.0379,0.1
s2_NBR_spring,0.0118,0.0248,0.05
s2_B4_spring,0.0112,0.0201,0.0
l8_SR_B3_spring,0.0108,0.0668,0.1
s2_B11_spring,0.0101,0.0223,0.1
s2_B2_spring,0.0089,0.0222,0.05
s2_GNDVI_spring,0.0088,0.021,0.1
s2_NDRE_spring,0.0086,0.0184,0.05
s2_NDMI_spring,0.0085,0.0086,0.1
s2_B6_spring,0.0084,0.0184,0.1
topo_aspect_sin,0.0079,0.0477,0.1
s2_EVI_spring,0.007,0.0121,0.0
l8_SR_B4_spring,0.007,0.015,0.05
l8_SR_B5_spring,0.0065,0.0192,0.05
s2_MSI_spring,0.0065,0.0129,0.05
s2_IRECI_spring,0.0051,0.0096,0.0
climate_GS_precip,0.0044,0.01,0.0
s2_SAVI_spring,0.0029,0.0104,0.0
s2_NDVI_spring,0.0028,0.0072,0.05
climate_MAP,0.0023,0.0047,0.0
topo_slope,0.0019,0.0107,0.05
topo_TWI,0.0014,0.0107,0.05
topo_aspect_cos,0.0013,0.0041,0.0
