feature,imp_mean,imp_std,top5_freq
climate_GS_temp,0.1065,0.205,0.2
climate_MAP,0.0803,0.1397,0.15
climate_MAT,0.0596,0.0635,0.2
topo_DEM,0.0575,0.0676,0.3
l8_SR_B7_spring,0.0488,0.1069,0.2
l8_NDVI_spring,0.0482,0.1259,0.25
s2_B7_spring,0.0317,0.0607,0.05
s2_IRECI_spring,0.0289,0.0746,0.1
s2_B8_spring,0.0275,0.0577,0.05
s2_BSI_spring,0.0273,0.0745,0.1
topo_plan_curvature,0.0266,0.039,0.15
s2_B6_spring,0.0254,0.06,0.05
climate_GS_precip,0.0247,0.073,0.1
topo_TPI,0.0212,0.0498,0.2
l8_SR_B6_spring,0.0197,0.0224,0.05
l8_SR_B3_spring,0.0195,0.0397,0.1
s2_SAVI_spring,0.019,0.0312,0.05
s2_B2_spring,0.0186,0.0499,0.1
l8_GNDVI_spring,0.018,0.0212,0.1
s2_S2REP_spring,0.0178,0.0584,0.25
s2_RENDVI_spring,0.0168,0.0534,0.2
s2_B4_spring,0.0163,0.034,0.15
topo_profile_curvature,0.0156,0.0214,0.15
s2_B12_spring,0.0151,0.05,0.15
s2_CIre_spring,0.0151,0.0221,0.05
s2_B3_spring,0.0137,0.0399,0.2
s2_Cl_Red_Edge_spring,0.0134,0.0307,0.1
s2_NDWI_spring,0.0119,0.0238,0.2
l8_SR_B4_spring,0.0113,0.0218,0.0
s2_GNDVI_spring,0.0108,0.0232,0.1
s2_B8A_spring,0.0102,0.0199,0.1
s2_NDVI_spring,0.0101,0.0273,0.1
s2_B5_spring,0.0095,0.0255,0.05
s2_EVI_spring,0.0084,0.019,0.0
l8_SR_B5_spring,0.0084,0.0125,0.0
s2_NDRE_spring,0.0076,0.0189,0.05
s2_MSI_spring,0.0065,0.0179,0.05
s2_B11_spring,0.0064,0.0257,0.05
s2_PSRI_spring,0.0056,0.0205,0.2
l8_SR_B2_spring,0.0041,0.0098,0.05
topo_aspect_cos,0.0037,0.0251,0.05
topo_aspect_sin,0.0025,0.0158,0.05
l8_SAVI_spring,0.0024,0.005,0.0
topo_slope,0.0022,0.0116,0.0
s2_NDMI_spring,0.0019,0.0055,0.15
s2_NBR_spring,0.0011,0.003,0.05
topo_TWI,0.0002,0.0012,0.0
