Target,Model,Spearman_rho,RMSE,R2
pH (KCl),RF,0.608083,0.378771,0.501277
pH (KCl),ET,0.598774,0.393554,0.461588
pH (KCl),GBDT,0.630136,0.399568,0.445008
pH (KCl),KNN,0.55964,0.42635,0.368115
pH (KCl),LR,0.56763,0.433529,0.346655
pH (KCl),Ridge,0.567651,0.43347,0.346835
pH (KCl),SGD,0.567896,0.431029,0.35417
pH (KCl),SVR,0.530851,0.419194,0.389149
pH (KCl),CatBoost,0.63016,0.389785,0.471853
pH (KCl),CART,0.466232,0.417611,0.393754
"SOC, %",RF,0.519125,0.457859,0.320904
"SOC, %",ET,0.520488,0.457418,0.322212
"SOC, %",GBDT,0.48789,0.471536,0.279726
"SOC, %",KNN,0.482722,0.506504,0.168938
"SOC, %",LR,0.20028,0.561854,-0.022621
"SOC, %",Ridge,0.200362,0.561688,-0.022017
"SOC, %",SGD,0.219751,0.556206,-0.002163
"SOC, %",SVR,0.504088,0.470804,0.281963
"SOC, %",CatBoost,0.493059,0.478202,0.259218
"SOC, %",CART,0.400526,0.497413,0.198503
"NO3, mg/kg",RF,0.326842,7.178746,0.117904
"NO3, mg/kg",ET,0.341565,7.058547,0.147196
"NO3, mg/kg",GBDT,0.280755,8.035914,-0.105323
"NO3, mg/kg",KNN,0.322424,8.062295,-0.112592
"NO3, mg/kg",LR,0.232487,7.335758,0.078896
"NO3, mg/kg",Ridge,0.232516,7.334922,0.079106
"NO3, mg/kg",SGD,0.223204,7.33359,0.07944
"NO3, mg/kg",SVR,0.301173,7.101487,0.136788
"NO3, mg/kg",CatBoost,0.284252,8.217506,-0.155843
"NO3, mg/kg",CART,0.27265,7.597792,0.011917
"P2O5, mg/kg",RF,0.439063,10.905317,0.448067
"P2O5, mg/kg",ET,0.411261,11.134527,0.424622
"P2O5, mg/kg",GBDT,0.289294,11.145981,0.423438
"P2O5, mg/kg",KNN,0.381987,12.895342,0.228252
"P2O5, mg/kg",LR,0.407924,13.738867,0.123985
"P2O5, mg/kg",Ridge,0.407902,13.736603,0.124274
"P2O5, mg/kg",SGD,0.407076,13.726866,0.125515
"P2O5, mg/kg",SVR,0.259831,13.137072,0.199048
"P2O5, mg/kg",CatBoost,0.262933,12.32542,0.294961
"P2O5, mg/kg",CART,0.393951,12.470804,0.278231
"K2O, mg/kg",RF,0.175579,192.838434,-0.027982
"K2O, mg/kg",ET,0.190956,192.553186,-0.024943
"K2O, mg/kg",GBDT,0.194068,195.468045,-0.056209
"K2O, mg/kg",KNN,0.098522,220.963004,-0.349701
"K2O, mg/kg",LR,-0.083061,216.372894,-0.294208
"K2O, mg/kg",Ridge,-0.083112,216.332101,-0.29372
"K2O, mg/kg",SGD,-0.076004,216.555665,-0.296395
"K2O, mg/kg",SVR,-0.23829,199.62706,-0.101634
"K2O, mg/kg",CatBoost,0.188566,198.82525,-0.092802
"K2O, mg/kg",CART,0.091361,209.418175,-0.212348
"S, mg/kg",RF,0.526393,3.23468,0.657902
"S, mg/kg",ET,0.517101,3.282027,0.647814
"S, mg/kg",GBDT,0.506207,3.344075,0.634371
"S, mg/kg",KNN,0.478243,3.559302,0.585793
"S, mg/kg",LR,0.096184,4.148206,0.437388
"S, mg/kg",Ridge,0.096162,4.147715,0.437521
"S, mg/kg",SGD,0.092038,4.17295,0.430656
"S, mg/kg",SVR,0.488388,4.627158,0.29997
"S, mg/kg",CatBoost,0.503695,3.266336,0.651173
"S, mg/kg",CART,0.384746,3.678433,0.557601
