feature,group,season,leakage_suspect,target,rho_full,block_within,block_between,rho_2022,rho_2023,year_consistent,feature_class,robust,cross_season,property_lability,cross_season_concern,ml_recommendation
s2_B11_autumn,Spectral-base,autumn,YES,pH,-0.01,0.19,-0.158,-0.388,0.255,no,weak,False,True,stable,False,DROP-WEAK
s2_B11_late_summer,Spectral-base,late-summer,YES,pH,-0.142,0.019,-0.124,-0.601,0.05,no,weak,False,True,stable,False,DROP-WEAK
s2_B11_spring,Spectral-base,spring,no,pH,-0.117,0.068,-0.192,0.217,0.036,no,weak,False,False,stable,False,DROP-WEAK
s2_B11_summer,Spectral-base,summer,YES,pH,0.276,0.041,0.191,-0.298,0.435,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B12_autumn,Spectral-base,autumn,YES,pH,-0.03,0.198,-0.226,-0.519,0.243,no,weak,False,True,stable,False,DROP-WEAK
s2_B12_late_summer,Spectral-base,late-summer,YES,pH,-0.077,0.018,-0.05,-0.634,0.071,no,weak,False,True,stable,False,DROP-WEAK
s2_B12_spring,Spectral-base,spring,no,pH,-0.105,0.055,-0.192,0.542,0.006,no,weak,False,False,stable,False,DROP-WEAK
s2_B12_summer,Spectral-base,summer,YES,pH,0.253,0.057,0.161,-0.08,0.299,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B2_autumn,Spectral-base,autumn,YES,pH,0.188,0.139,-0.049,-0.1,0.427,no,weak,False,True,stable,False,DROP-WEAK
s2_B2_late_summer,Spectral-base,late-summer,YES,pH,0.395,0.009,0.424,-0.474,0.561,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B2_spring,Spectral-base,spring,no,pH,0.327,0.143,0.34,0.462,0.327,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_B2_summer,Spectral-base,summer,YES,pH,0.575,0.148,0.572,-0.167,0.591,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B3_autumn,Spectral-base,autumn,YES,pH,0.199,0.111,-0.02,-0.021,0.438,no,weak,False,True,stable,False,DROP-WEAK
s2_B3_late_summer,Spectral-base,late-summer,YES,pH,0.385,0.019,0.417,-0.175,0.557,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B3_spring,Spectral-base,spring,no,pH,0.343,0.127,0.393,0.603,0.338,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_B3_summer,Spectral-base,summer,YES,pH,0.6,0.151,0.637,-0.18,0.624,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B4_autumn,Spectral-base,autumn,YES,pH,0.081,0.143,-0.148,-0.156,0.371,no,weak,False,True,stable,False,DROP-WEAK
s2_B4_late_summer,Spectral-base,late-summer,YES,pH,0.253,0.036,0.271,-0.124,0.472,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B4_spring,Spectral-base,spring,no,pH,0.332,0.103,0.459,0.588,0.329,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_B4_summer,Spectral-base,summer,YES,pH,0.545,0.099,0.533,0.047,0.589,no,zonal_only,False,True,stable,False,CONTROL-COVARIATE
s2_B5_autumn,Spectral-base,autumn,YES,pH,0.102,0.111,-0.101,-0.136,0.369,no,weak,False,True,stable,False,DROP-WEAK
s2_B5_late_summer,Spectral-base,late-summer,YES,pH,0.187,0.05,0.209,-0.044,0.396,no,weak,False,True,stable,False,DROP-WEAK
s2_B5_spring,Spectral-base,spring,no,pH,0.303,0.1,0.33,0.547,0.327,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_B5_summer,Spectral-base,summer,YES,pH,0.506,0.113,0.537,-0.084,0.572,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_B6_autumn,Spectral-base,autumn,YES,pH,0.099,0.002,0.077,-0.005,0.227,no,weak,False,True,stable,False,DROP-WEAK
s2_B6_late_summer,Spectral-base,late-summer,YES,pH,-0.017,0.102,-0.119,0.1,0.121,yes,weak,False,True,stable,False,DROP-WEAK
s2_B6_spring,Spectral-base,spring,no,pH,0.227,0.108,0.267,0.146,0.304,yes,weak,False,False,stable,False,DROP-WEAK
s2_B6_summer,Spectral-base,summer,YES,pH,-0.046,0.052,-0.16,-0.381,0.02,no,weak,False,True,stable,False,DROP-WEAK
s2_B7_autumn,Spectral-base,autumn,YES,pH,0.078,-0.003,0.065,0.004,0.198,no,weak,False,True,stable,False,DROP-WEAK
s2_B7_late_summer,Spectral-base,late-summer,YES,pH,-0.061,0.11,-0.147,0.173,0.08,no,weak,False,True,stable,False,DROP-WEAK
s2_B7_spring,Spectral-base,spring,no,pH,0.207,0.114,0.148,0.124,0.309,yes,weak,False,False,stable,False,DROP-WEAK
s2_B7_summer,Spectral-base,summer,YES,pH,-0.117,0.054,-0.22,-0.33,-0.052,no,weak,False,True,stable,False,DROP-WEAK
s2_B8_autumn,Spectral-base,autumn,YES,pH,0.049,0.011,0.036,-0.004,0.17,no,weak,False,True,stable,False,DROP-WEAK
s2_B8_late_summer,Spectral-base,late-summer,YES,pH,-0.068,0.1,-0.145,0.059,0.072,no,weak,False,True,stable,False,DROP-WEAK
s2_B8_spring,Spectral-base,spring,no,pH,0.183,0.11,0.108,0.0,0.282,no,weak,False,False,stable,False,DROP-WEAK
s2_B8_summer,Spectral-base,summer,YES,pH,-0.112,0.054,-0.235,-0.432,-0.025,no,weak,False,True,stable,False,DROP-WEAK
s2_B8A_autumn,Spectral-base,autumn,YES,pH,0.035,0.004,0.016,0.011,0.164,no,weak,False,True,stable,False,DROP-WEAK
s2_B8A_late_summer,Spectral-base,late-summer,YES,pH,-0.093,0.107,-0.219,0.053,0.053,no,weak,False,True,stable,False,DROP-WEAK
s2_B8A_spring,Spectral-base,spring,no,pH,0.179,0.1,0.118,0.057,0.277,no,weak,False,False,stable,False,DROP-WEAK
s2_B8A_summer,Spectral-base,summer,YES,pH,-0.13,0.06,-0.259,-0.401,-0.057,no,weak,False,True,stable,False,DROP-WEAK
s2_BSI_autumn,Spectral-base,autumn,YES,pH,-0.252,0.027,-0.345,-0.333,-0.151,yes,weak,False,True,stable,False,DROP-WEAK
s2_BSI_late_summer,Spectral-base,late-summer,YES,pH,-0.132,-0.068,-0.122,-0.406,-0.087,no,weak,False,True,stable,False,DROP-WEAK
s2_BSI_spring,Spectral-base,spring,no,pH,-0.463,-0.065,-0.541,0.492,-0.391,no,unstable,False,False,stable,False,EXCLUDE-UNSTABLE
s2_BSI_summer,Spectral-base,summer,YES,pH,0.228,-0.003,0.271,0.115,0.229,yes,weak,False,True,stable,False,DROP-WEAK
s2_Cl_Red_Edge_autumn,Spectral-base,autumn,YES,pH,0.096,-0.123,0.286,0.198,-0.135,no,weak,False,True,stable,False,DROP-WEAK
s2_Cl_Red_Edge_late_summer,Spectral-base,late-summer,YES,pH,-0.157,0.076,-0.179,0.332,-0.23,no,weak,False,True,stable,False,DROP-WEAK
s2_Cl_Red_Edge_spring,Spectral-base,spring,no,pH,-0.472,-0.062,-0.638,-0.571,-0.306,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_Cl_Red_Edge_summer,Spectral-base,summer,YES,pH,-0.396,0.001,-0.446,-0.156,-0.386,yes,zonal_only,False,True,stable,False,CONTROL-COVARIATE
s2_EVI_autumn,Spectral-base,autumn,YES,pH,0.156,-0.043,0.268,0.045,0.007,no,weak,False,True,stable,False,DROP-WEAK
s2_EVI_late_summer,Spectral-base,late-summer,YES,pH,-0.142,0.096,-0.173,0.256,-0.174,no,weak,False,True,stable,False,DROP-WEAK
s2_EVI_spring,Spectral-base,spring,no,pH,-0.145,-0.037,-0.269,-0.563,0.055,no,weak,False,False,stable,False,DROP-WEAK
s2_EVI_summer,Spectral-base,summer,YES,pH,-0.291,0.013,-0.364,-0.28,-0.252,yes,weak,False,True,stable,False,DROP-WEAK
s2_GNDVI_autumn,Spectral-base,autumn,YES,pH,-0.209,-0.085,-0.195,-0.114,-0.349,yes,weak,False,True,stable,False,DROP-WEAK
s2_GNDVI_late_summer,Spectral-base,late-summer,YES,pH,-0.434,0.111,-0.475,0.479,-0.421,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_GNDVI_spring,Spectral-base,spring,no,pH,-0.516,-0.083,-0.616,-0.645,-0.403,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_GNDVI_summer,Spectral-base,summer,YES,pH,-0.374,-0.008,-0.467,-0.161,-0.319,yes,zonal_only,False,True,stable,False,CONTROL-COVARIATE
s2_NDRE_autumn,Spectral-base,autumn,YES,pH,0.026,-0.118,0.155,-0.006,-0.2,no,weak,False,True,stable,False,DROP-WEAK
s2_NDRE_late_summer,Spectral-base,late-summer,YES,pH,-0.218,0.061,-0.277,0.343,-0.288,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_NDRE_spring,Spectral-base,spring,no,pH,-0.52,-0.033,-0.709,-0.679,-0.389,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_NDRE_summer,Spectral-base,summer,YES,pH,-0.387,0.003,-0.455,-0.23,-0.353,yes,zonal_only,False,True,stable,False,CONTROL-COVARIATE
s2_NDVI_autumn,Spectral-base,autumn,YES,pH,0.067,-0.109,0.216,0.112,-0.157,no,weak,False,True,stable,False,DROP-WEAK
s2_NDVI_late_summer,Spectral-base,late-summer,YES,pH,-0.218,0.082,-0.28,0.349,-0.293,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
s2_NDVI_spring,Spectral-base,spring,no,pH,-0.49,-0.048,-0.652,-0.619,-0.358,yes,zonal_only,False,False,stable,False,CONTROL-COVARIATE
s2_NDVI_summer,Spectral-base,summer,YES,pH,-0.382,-0.017,-0.429,-0.184,-0.352,yes,zonal_only,False,True,stable,False,CONTROL-COVARIATE
s2_SAVI_autumn,Spectral-base,autumn,YES,pH,0.101,-0.053,0.216,0.051,-0.028,no,weak,False,True,stable,False,DROP-WEAK
s2_SAVI_late_summer,Spectral-base,late-summer,YES,pH,-0.18,0.117,-0.27,0.392,-0.192,no,weak,False,True,stable,False,DROP-WEAK
s2_SAVI_spring,Spectral-base,spring,no,pH,-0.21,-0.044,-0.343,-0.6,-0.026,no,weak,False,False,stable,False,DROP-WEAK
s2_SAVI_summer,Spectral-base,summer,YES,pH,-0.293,0.014,-0.368,-0.255,-0.248,yes,weak,False,True,stable,False,DROP-WEAK
l8_GNDVI_autumn,Spectral-base,autumn,YES,pH,-0.201,-0.093,-0.207,-0.061,-0.248,no,weak,False,True,stable,False,DROP-WEAK
l8_GNDVI_late_summer,Spectral-base,late-summer,YES,pH,-0.266,0.036,-0.341,0.39,-0.311,no,unstable,False,True,stable,False,EXCLUDE-UNSTABLE
l8_GNDVI_spring,Spectral-base,spring,no,pH,-0.67,-0.323,-0.703,-0.294,-0.615,yes,generalizable,True,False,stable,False,USE-PREDICTOR
