target,feature,group,season,rho_full,block_within,rho_2022,rho_2023
K2O,s2_B11_spring,Spectral-base,spring,-0.333,-0.184,-0.509,-0.229
K2O,spectral_B11_spring,Spectral-composite,spring,-0.333,-0.184,-0.509,-0.229
K2O,spectral_B11_B8_spring,Spectral-composite,spring,-0.4,-0.24,-0.106,-0.394
K2O,s2_MSI_spring,Spectral-base,spring,-0.399,-0.246,-0.106,-0.389
K2O,s2_NDMI_spring,Spectral-base,spring,0.399,0.246,0.106,0.389
K2O,s2_B12_spring,Spectral-base,spring,-0.348,-0.263,-0.39,-0.247
K2O,spectral_B12_spring,Spectral-composite,spring,-0.348,-0.263,-0.39,-0.247
K2O,s2_BSI_spring,Spectral-base,spring,-0.478,-0.271,-0.237,-0.477
K2O,spectral_BSI_spring,Spectral-composite,spring,-0.478,-0.271,-0.237,-0.477
K2O,s2_NBR_spring,Spectral-base,spring,0.356,0.294,0.118,0.339
NO3,s2_B8_spring,Spectral-base,spring,-0.344,-0.168,-0.429,-0.325
NO3,spectral_B8_spring,Spectral-composite,spring,-0.344,-0.168,-0.429,-0.325
NO3,s2_B6_spring,Spectral-base,spring,-0.316,-0.175,-0.373,-0.32
NO3,s2_B7_spring,Spectral-base,spring,-0.335,-0.175,-0.381,-0.321
NO3,spectral_B6_spring,Spectral-composite,spring,-0.316,-0.175,-0.373,-0.32
NO3,spectral_B7_spring,Spectral-composite,spring,-0.335,-0.175,-0.381,-0.321
NO3,s2_B8A_spring,Spectral-base,spring,-0.341,-0.176,-0.334,-0.318
NO3,spectral_B8A_spring,Spectral-composite,spring,-0.341,-0.176,-0.334,-0.318
NO3,s2_IRECI_spring,Spectral-base,spring,-0.356,-0.19,-0.596,-0.174
NO3,s2_EVI_spring,Spectral-base,spring,-0.406,-0.207,-0.577,-0.264
NO3,s2_SAVI_spring,Spectral-base,spring,-0.431,-0.207,-0.587,-0.286
NO3,l8_SR_B5_spring,Spectral-base,spring,-0.415,-0.259,-0.536,-0.395
P2O5,glcm_glcm_nir_idm_summer,Texture,summer,0.41,0.162,0.412,0.402
P2O5,glcm_glcm_nir_asm_summer,Texture,summer,0.369,0.198,0.503,0.3
P2O5,glcm_glcm_nir_ent_summer,Texture,summer,-0.392,-0.199,-0.503,-0.333
pH,ts_l8_GNDVI_mean,Temporal,static/multi,-0.577,-0.166,-0.358,-0.515
pH,glcm_glcm_red_asm_spring,Texture,spring,-0.397,-0.168,-0.629,-0.293
pH,glcm_glcm_nir_idm_late_summer,Texture,late-summer,-0.327,-0.186,-0.733,-0.3
pH,l8_NDVI_spring,Spectral-base,spring,-0.661,-0.192,-0.451,-0.576
pH,l8_SAVI_spring,Spectral-base,spring,-0.482,-0.302,-0.388,-0.406
pH,l8_GNDVI_spring,Spectral-base,spring,-0.67,-0.323,-0.294,-0.615
