Target,Model,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,CART,0.8576,0.2307,0.1693,0.0266,0.0256,5.4
PH,ET,0.8057,0.2695,0.2236,0.0363,0.0353,4.0
PH,KNN,0.6686,0.3519,0.2707,0.0619,0.0579,0.4
PH,Ridge,0.5548,0.4079,0.3294,0.0822,0.0773,0.1
PH,SGD,0.4809,0.4404,0.3647,0.0965,0.0895,0.1
PH,SVR,0.7372,0.3134,0.2458,0.049,0.0465,0.4
PH,GBDT,0.8454,0.2404,0.1934,0.0289,0.0281,4.3
PH,RF,0.8881,0.2044,0.1545,0.0209,0.0203,4.9
PH,XGBoost,0.892,0.2008,0.1527,0.0202,0.0197,3.5
K,CART,-0.0485,154.5729,121.5492,121.0492,inf,0.1
K,ET,0.3321,123.3725,99.8212,99.3212,inf,3.1
K,KNN,0.3124,125.1776,108.0717,107.5717,inf,0.3
K,Ridge,-0.8885,207.444,176.468,175.9681,inf,0.1
K,SGD,-0.3553,175.7356,146.7704,146.2704,inf,0.1
K,SVR,0.1851,136.2735,109.8616,109.3618,inf,0.6
K,GBDT,0.3667,120.1313,96.1325,95.6325,inf,5.1
K,RF,0.2435,131.2936,104.3516,103.8563,inf,5.4
K,XGBoost,0.2925,126.9719,100.9235,100.4235,inf,2.4
S,CART,-0.1561,3.1679,2.2498,1.8001,1.6867,0.1
S,ET,0.0263,2.9072,2.0281,1.6102,1.5058,4.2
S,KNN,-0.0892,3.075,2.1049,1.6857,1.5812,0.4
S,Ridge,-2.913,5.8282,4.8956,4.4112,4.2375,0.1
S,SGD,-0.5274,3.6413,2.671,2.202,2.0695,0.1
S,SVR,-0.725,3.8697,2.9781,2.5,2.3467,0.6
S,GBDT,-0.0252,2.9832,2.0318,1.61,1.5102,5.2
S,RF,-0.0731,3.0521,2.1736,1.7284,1.6176,5.9
S,XGBoost,0.0206,2.9158,2.1658,1.7107,1.5931,1.2
P,CART,0.2159,8.3684,6.3541,5.8689,5.6956,0.1
P,ET,0.0729,9.0995,6.8108,6.3373,6.1795,4.6
P,KNN,-0.1774,10.2547,8.0594,7.5722,7.3943,0.3
P,Ridge,-0.4398,11.3399,8.8334,8.3405,8.1609,0.1
P,SGD,-0.2278,10.472,8.4382,7.9492,7.7723,0.1
P,SVR,0.2413,8.2317,5.8963,5.4178,5.2588,0.6
P,GBDT,0.3931,7.3627,5.9093,5.4267,5.2556,5.0
P,RF,0.3557,7.5857,5.8471,5.3759,5.211,5.7
P,XGBoost,0.3413,7.6703,6.4861,5.9974,5.8192,2.0
HU,CART,-0.5378,0.8891,0.6233,0.3259,0.289,0.1
HU,ET,0.3551,0.5757,0.4237,0.158,0.141,4.3
HU,KNN,0.5424,0.485,0.3641,0.1148,0.104,0.4
HU,Ridge,-3.0394,1.4409,1.3452,0.8707,0.7576,0.1
HU,SGD,-0.1117,0.7559,0.62,0.2664,0.2364,0.1
HU,SVR,0.5734,0.4682,0.3549,0.1076,0.098,0.5
HU,GBDT,-0.6128,0.9105,0.7258,0.3524,0.3142,4.5
HU,RF,0.0475,0.6997,0.5002,0.2252,0.1979,4.7
HU,XGBoost,0.1781,0.65,0.4731,0.198,0.1746,1.8
NO3,CART,0.3996,5.1544,3.3417,2.9058,2.7775,0.1
NO3,ET,0.6764,3.7838,2.419,1.9839,1.863,4.0
NO3,KNN,0.6577,3.8918,2.209,1.78,1.6796,0.4
NO3,Ridge,0.1649,6.0789,4.0003,3.5267,3.3739,0.1
NO3,SGD,0.0974,6.3198,3.9486,3.4803,3.3381,0.1
NO3,SVR,0.4367,4.9923,3.6659,3.1849,3.0294,0.6
NO3,GBDT,0.6507,3.9312,2.7218,2.264,2.1333,5.0
NO3,RF,0.5715,4.3544,2.6815,2.2293,2.11,6.5
NO3,XGBoost,0.5806,4.3079,2.8785,2.4245,2.2954,3.0
