target,feature,rho,abs_rho,n,group,short
ph,s2_B11_autumn,-0.010268535648876828,0.010268535648876828,1003,Spectral,B11_autumn
ph,s2_B11_late_summer,-0.14229026331817077,0.14229026331817077,1085,Spectral,B11_late_summer
ph,s2_B11_spring,-0.11730280970926459,0.11730280970926459,1085,Spectral,B11_spring
ph,s2_B11_summer,0.27586365747825087,0.27586365747825087,1085,Spectral,B11_summer
ph,s2_B12_autumn,-0.030478677695233426,0.030478677695233426,1003,Spectral,B12_autumn
ph,s2_B12_late_summer,-0.07733224251949775,0.07733224251949775,1085,Spectral,B12_late_summer
ph,s2_B12_spring,-0.10481162928181804,0.10481162928181804,1085,Spectral,B12_spring
ph,s2_B12_summer,0.2525877562481765,0.2525877562481765,1085,Spectral,B12_summer
ph,s2_B2_autumn,0.18752294484981338,0.18752294484981338,1003,Spectral,B2_autumn
ph,s2_B2_late_summer,0.3950806488736105,0.3950806488736105,1085,Spectral,B2_late_summer
ph,s2_B2_spring,0.32688097450845094,0.32688097450845094,1085,Spectral,B2_spring
ph,s2_B2_summer,0.5750730610187225,0.5750730610187225,1085,Spectral,B2_summer
ph,s2_B3_autumn,0.19851672395903816,0.19851672395903816,1003,Spectral,B3_autumn
ph,s2_B3_late_summer,0.3849737929816494,0.3849737929816494,1085,Spectral,B3_late_summer
ph,s2_B3_spring,0.34258954830254396,0.34258954830254396,1085,Spectral,B3_spring
ph,s2_B3_summer,0.5998225947533997,0.5998225947533997,1085,Spectral,B3_summer
ph,s2_B4_autumn,0.08108621747553306,0.08108621747553306,1003,Spectral,B4_autumn
ph,s2_B4_late_summer,0.25266234456297654,0.25266234456297654,1085,Spectral,B4_late_summer
ph,s2_B4_spring,0.33152317318760977,0.33152317318760977,1085,Spectral,B4_spring
ph,s2_B4_summer,0.544910925663468,0.544910925663468,1085,Spectral,B4_summer
ph,s2_B5_autumn,0.10237822918811983,0.10237822918811983,1003,Spectral,B5_autumn
ph,s2_B5_late_summer,0.18747108129436274,0.18747108129436274,1085,Spectral,B5_late_summer
ph,s2_B5_spring,0.30341501774005775,0.30341501774005775,1085,Spectral,B5_spring
ph,s2_B5_summer,0.5061085484544813,0.5061085484544813,1085,Spectral,B5_summer
ph,s2_B6_autumn,0.09892076439729804,0.09892076439729804,1003,Spectral,B6_autumn
ph,s2_B6_late_summer,-0.017005866741064777,0.017005866741064777,1085,Spectral,B6_late_summer
ph,s2_B6_spring,0.22678847328267746,0.22678847328267746,1085,Spectral,B6_spring
ph,s2_B6_summer,-0.045588351574438815,0.045588351574438815,1085,Spectral,B6_summer
ph,s2_B7_autumn,0.07775845665644206,0.07775845665644206,1003,Spectral,B7_autumn
ph,s2_B7_late_summer,-0.06129434359240099,0.06129434359240099,1085,Spectral,B7_late_summer
ph,s2_B7_spring,0.20747723149303857,0.20747723149303857,1085,Spectral,B7_spring
ph,s2_B7_summer,-0.11733830323120956,0.11733830323120956,1085,Spectral,B7_summer
ph,s2_B8_autumn,0.048869393097990335,0.048869393097990335,1003,Spectral,B8_autumn
ph,s2_B8_late_summer,-0.06760853258909608,0.06760853258909608,1085,Spectral,B8_late_summer
ph,s2_B8_spring,0.18252648441606936,0.18252648441606936,1085,Spectral,B8_spring
ph,s2_B8_summer,-0.1117573811346214,0.1117573811346214,1085,Spectral,B8_summer
ph,s2_B8A_autumn,0.034807900078374344,0.034807900078374344,1003,Spectral,B8A_autumn
ph,s2_B8A_late_summer,-0.09318836930335717,0.09318836930335717,1085,Spectral,B8A_late_summer
ph,s2_B8A_spring,0.17902942852784268,0.17902942852784268,1085,Spectral,B8A_spring
ph,s2_B8A_summer,-0.13008138382703413,0.13008138382703413,1085,Spectral,B8A_summer
ph,s2_BSI_autumn,-0.2523152740541639,0.2523152740541639,1003,Spectral,BSI_autumn
ph,s2_BSI_late_summer,-0.1316649471321184,0.1316649471321184,1085,Spectral,BSI_late_summer
ph,s2_BSI_spring,-0.4633502247095154,0.4633502247095154,1085,Spectral,BSI_spring
ph,s2_BSI_summer,0.22797781778012752,0.22797781778012752,1085,Spectral,BSI_summer
ph,s2_Cl_Red_Edge_autumn,0.09609788763428073,0.09609788763428073,1003,Spectral,Cl_Red_Edge_autumn
ph,s2_Cl_Red_Edge_late_summer,-0.156890070461442,0.156890070461442,1085,Spectral,Cl_Red_Edge_late_summer
ph,s2_Cl_Red_Edge_spring,-0.4715987445738459,0.4715987445738459,1085,Spectral,Cl_Red_Edge_spring
ph,s2_Cl_Red_Edge_summer,-0.3962652262889908,0.3962652262889908,1085,Spectral,Cl_Red_Edge_summer
ph,s2_EVI_autumn,0.15587872290032534,0.15587872290032534,1003,Spectral,EVI_autumn
ph,s2_EVI_late_summer,-0.141863661391645,0.141863661391645,1085,Spectral,EVI_late_summer
ph,s2_EVI_spring,-0.14461450374004464,0.14461450374004464,1085,Spectral,EVI_spring
ph,s2_EVI_summer,-0.291195518511637,0.291195518511637,1085,Spectral,EVI_summer
ph,s2_GNDVI_autumn,-0.20886071125077033,0.20886071125077033,1003,Spectral,GNDVI_autumn
ph,s2_GNDVI_late_summer,-0.434291116627066,0.434291116627066,1085,Spectral,GNDVI_late_summer
ph,s2_GNDVI_spring,-0.5158386963056187,0.5158386963056187,1085,Spectral,GNDVI_spring
ph,s2_GNDVI_summer,-0.3739630322509011,0.3739630322509011,1085,Spectral,GNDVI_summer
ph,s2_NDRE_autumn,0.026129187573600148,0.026129187573600148,1003,Spectral,NDRE_autumn
ph,s2_NDRE_late_summer,-0.21777167442438536,0.21777167442438536,1085,Spectral,NDRE_late_summer
ph,s2_NDRE_spring,-0.5200608867351344,0.5200608867351344,1085,Spectral,NDRE_spring
ph,s2_NDRE_summer,-0.3873202215746222,0.3873202215746222,1085,Spectral,NDRE_summer
ph,s2_NDVI_autumn,0.06674645808047,0.06674645808047,1003,Spectral,NDVI_autumn
ph,s2_NDVI_late_summer,-0.21828899250673325,0.21828899250673325,1085,Spectral,NDVI_late_summer
ph,s2_NDVI_spring,-0.48950321572482236,0.48950321572482236,1085,Spectral,NDVI_spring
ph,s2_NDVI_summer,-0.38188838642985257,0.38188838642985257,1085,Spectral,NDVI_summer
ph,s2_SAVI_autumn,0.10088273403377129,0.10088273403377129,1003,Spectral,SAVI_autumn
ph,s2_SAVI_late_summer,-0.18049830811002554,0.18049830811002554,1085,Spectral,SAVI_late_summer
ph,s2_SAVI_spring,-0.20999165489007873,0.20999165489007873,1085,Spectral,SAVI_spring
ph,s2_SAVI_summer,-0.2925685608646852,0.2925685608646852,1085,Spectral,SAVI_summer
ph,l8_GNDVI_autumn,-0.2009264463517283,0.2009264463517283,939,Spectral,GNDVI_autumn
ph,l8_GNDVI_late_summer,-0.2661142147444391,0.2661142147444391,1085,Spectral,GNDVI_late_summer
ph,l8_GNDVI_spring,-0.6704083305710761,0.6704083305710761,1085,Spectral,GNDVI_spring
ph,l8_GNDVI_summer,-0.25758778815509276,0.25758778815509276,1085,Spectral,GNDVI_summer
ph,l8_NDVI_autumn,-0.09936217740250813,0.09936217740250813,939,Spectral,NDVI_autumn
ph,l8_NDVI_late_summer,-0.25412625410811046,0.25412625410811046,1085,Spectral,NDVI_late_summer
ph,l8_NDVI_spring,-0.660533626856028,0.660533626856028,1085,Spectral,NDVI_spring
ph,l8_NDVI_summer,-0.24211948945696415,0.24211948945696415,1085,Spectral,NDVI_summer
ph,l8_SAVI_autumn,-0.15059040953795325,0.15059040953795325,939,Spectral,SAVI_autumn
ph,l8_SAVI_late_summer,-0.2728201257305359,0.2728201257305359,1085,Spectral,SAVI_late_summer
ph,l8_SAVI_spring,-0.48181275125506146,0.48181275125506146,1085,Spectral,SAVI_spring
ph,l8_SAVI_summer,-0.1922284923233456,0.1922284923233456,1085,Spectral,SAVI_summer
ph,l8_SR_B2_autumn,0.0016171884043635284,0.0016171884043635284,939,Spectral,SR_B2_autumn
ph,l8_SR_B2_late_summer,0.06409673178563588,0.06409673178563588,1085,Spectral,SR_B2_late_summer
ph,l8_SR_B2_spring,0.5576726450781969,0.5576726450781969,1085,Spectral,SR_B2_spring
ph,l8_SR_B2_summer,0.2698074101004776,0.2698074101004776,1085,Spectral,SR_B2_summer
ph,l8_SR_B3_autumn,0.08204435173542088,0.08204435173542088,939,Spectral,SR_B3_autumn
ph,l8_SR_B3_late_summer,0.19122509706579793,0.19122509706579793,1085,Spectral,SR_B3_late_summer
ph,l8_SR_B3_spring,0.43897169267682784,0.43897169267682784,1085,Spectral,SR_B3_spring
ph,l8_SR_B3_summer,0.34075281046060757,0.34075281046060757,1085,Spectral,SR_B3_summer
ph,l8_SR_B4_autumn,0.08346888956020808,0.08346888956020808,939,Spectral,SR_B4_autumn
ph,l8_SR_B4_late_summer,0.16199548792128204,0.16199548792128204,1085,Spectral,SR_B4_late_summer
ph,l8_SR_B4_spring,0.36703608441291546,0.36703608441291546,1085,Spectral,SR_B4_spring
ph,l8_SR_B4_summer,0.30154416930196487,0.30154416930196487,1085,Spectral,SR_B4_summer
ph,l8_SR_B5_autumn,-0.06343021518485355,0.06343021518485355,939,Spectral,SR_B5_autumn
ph,l8_SR_B5_late_summer,-0.22821493055432288,0.22821493055432288,1085,Spectral,SR_B5_late_summer
ph,l8_SR_B5_spring,0.17295260717903774,0.17295260717903774,1085,Spectral,SR_B5_spring
ph,l8_SR_B5_summer,-0.11899375507788211,0.11899375507788211,1085,Spectral,SR_B5_summer
ph,l8_SR_B6_autumn,-0.1861562717963743,0.1861562717963743,939,Spectral,SR_B6_autumn
ph,l8_SR_B6_late_summer,-0.15878995090132783,0.15878995090132783,1085,Spectral,SR_B6_late_summer
ph,l8_SR_B6_spring,-0.4019093995408428,0.4019093995408428,1085,Spectral,SR_B6_spring
